key, state, time
Mouse0,DOWN,0.01999999
Mouse0,UP,0.01999999
None,-100,3.804598
None,-200,67.57898
None,-250,69.32149
None,-300,69.52534
Mouse0,DOWN,71.45998
None,-400,71.46272
Mouse0,UP,71.55997
None,-100,73.26987
Mouse0,DOWN,74.51997
None,-200,74.5212
None,-250,74.5743
Mouse0,UP,74.63998
None,-100,80.55922
Mouse0,DOWN,81.99997
None,-200,82.00346
None,-250,82.05679
Mouse0,UP,82.11997
None,-300,84.25842
Mouse0,DOWN,85.07997
None,-400,85.0825
None,-100,88.89921
Mouse0,DOWN,90.23997
None,-200,90.24687
None,-250,91.12616
None,-300,91.32898
Mouse0,DOWN,92.41997
None,-400,92.42297
