position_x, position_y, left_button, right_button, trial, time
440.8,105.8001,0,0,0,5.76
604,224.2001,0,0,0,5.78
604,224.2001,0,0,0,5.8
604,224.2001,0,0,0,5.82
604,224.2001,0,0,0,5.84
604,224.2001,0,0,0,5.86
604,224.2001,0,0,0,5.88
604,224.2001,0,0,0,5.9
604,224.2001,0,0,0,5.92
604,224.2001,0,0,0,5.94
604,224.2001,0,0,0,5.96
604,224.2001,0,0,0,5.98
604,224.2001,0,0,0,6
603.2,225.8001,0,0,0,6.02
600.8,227.4001,0,0,0,6.04
592.8,229.0001,0,0,0,6.06
589.6,229.8001,0,0,0,6.08
589.6,230.6001,0,0,0,6.1
588.8,230.6001,0,0,0,6.12
588.8,230.6001,0,0,0,6.14
588.8,230.6001,0,0,0,6.16
588.8,230.6001,0,0,0,6.18
588.8,230.6001,0,0,0,6.2
588.8,230.6001,0,0,0,6.22
588.8,230.6001,0,0,0,6.24
588.8,230.6001,0,0,0,6.26
588.8,230.6001,0,0,0,6.28
588.8,230.6001,0,0,0,6.3
588.8,230.6001,0,0,0,6.32
588.8,230.6001,0,0,0,6.34
588.8,230.6001,0,0,0,6.36
588,231.4001,0,0,0,6.38
588,231.4001,0,0,0,6.4
588,232.2001,0,0,0,6.42
587.2,232.2001,0,0,0,6.44
587.2,232.2001,0,0,0,6.46
586.4,232.2001,0,0,0,6.48
586.4,233.0001,0,0,0,6.5
585.6,233.8001,0,0,0,6.52
585.6,234.6001,0,0,0,6.54
585.6,234.6001,0,0,0,6.56
585.6,234.6001,0,0,0,6.58
585.6,234.6001,0,0,0,6.6
585.6,234.6001,0,0,0,6.62
585.6,234.6001,0,0,0,6.64
584.8,234.6001,0,0,0,6.66
584.8,234.6001,0,0,0,6.68
584.8,234.6001,0,0,0,6.7
584.8,234.6001,0,0,0,6.72
584.8,234.6001,0,0,0,6.74
584.8,234.6001,0,0,0,6.76
584.8,234.6001,0,0,0,6.78
584.8,234.6001,0,0,0,6.8
584.8,234.6001,0,0,0,6.82
584.8,234.6001,0,0,0,6.84
584.8,234.6001,0,0,0,6.86
584.8,234.6001,0,0,0,6.88
585.6,239.4001,0,0,0,6.9
588,247.4001,0,0,0,6.92
596,266.6001,0,0,0,6.94
600.8,277.0001,0,0,0,6.96
605.6,289.8,0,0,0,6.98
609.6,299.4001,0,0,0,7
612,305.0001,0,0,0,7.02
615.2,311.4001,0,0,0,7.04
616.8,315.4001,0,0,0,7.06
616.8,316.2001,0,0,0,7.08
616.8,317.0001,0,0,0,7.1
616.8,317.0001,0,0,0,7.12
616.8,317.0001,0,0,0,7.14
616.8,317.0001,0,0,0,7.16
616.8,317.0001,0,0,0,7.18
617.6,317.0001,0,0,0,7.2
617.6,317.8,0,0,0,7.22
618.4,317.8,0,0,0,7.24
618.4,317.8,0,0,0,7.26
618.4,317.8,0,0,0,7.28
618.4,317.8,0,0,0,7.3
618.4,317.8,0,0,0,7.32
618.4,317.8,0,0,0,7.34
618.4,317.8,0,0,0,7.36
618.4,317.8,0,0,0,7.38
618.4,317.8,0,0,0,7.4
618.4,317.8,0,0,0,7.42
618.4,317.8,0,0,0,7.44
618.4,317.8,0,0,0,7.46
618.4,317.8,0,0,0,7.48
618.4,317.8,0,0,0,7.5
618.4,317.8,0,0,0,7.52
618.4,317.8,0,0,0,7.54
618.4,317.8,0,0,0,7.56
618.4,318.6,0,0,0,7.58
618.4,318.6,0,0,0,7.6
618.4,318.6,0,0,0,7.62
618.4,318.6,0,0,0,7.64
618.4,318.6,0,0,0,7.66
618.4,318.6,0,0,0,7.68
618.4,318.6,0,0,0,7.7
618.4,318.6,0,0,0,7.72
618.4,318.6,0,0,0,7.74
618.4,318.6,0,0,0,7.76
618.4,318.6,0,0,0,7.78
618.4,318.6,0,0,0,7.8
618.4,318.6,0,0,0,7.82
618.4,318.6,0,0,0,7.84
618.4,318.6,0,0,0,7.86
618.4,318.6,0,0,0,7.88
618.4,318.6,0,0,0,7.9
618.4,318.6,0,0,0,7.92
618.4,318.6,0,0,0,7.94
618.4,318.6,0,0,0,7.96
618.4,318.6,0,0,0,7.98
618.4,318.6,0,0,0,8
618.4,318.6,0,0,0,8.02
618.4,318.6,0,0,0,8.04
618.4,318.6,0,0,0,8.059999
618.4,318.6,0,0,0,8.08
618.4,318.6,0,0,0,8.099999
618.4,318.6,0,0,0,8.12
618.4,318.6,0,0,0,8.139999
618.4,318.6,0,0,0,8.16
618.4,318.6,0,0,0,8.179999
618.4,318.6,0,0,0,8.2
618.4,318.6,0,0,0,8.22
618.4,318.6,0,0,0,8.24
618.4,318.6,0,0,0,8.26
618.4,318.6,0,0,0,8.28
618.4,318.6,0,0,0,8.3
618.4,318.6,0,0,0,8.32
618.4,318.6,0,0,0,8.34
618.4,318.6,0,0,0,8.36
618.4,318.6,0,0,0,8.38
618.4,318.6,0,0,0,8.4
618.4,318.6,0,0,0,8.42
618.4,318.6,0,0,0,8.44
618.4,318.6,0,0,0,8.46
618.4,318.6,0,0,0,8.48
618.4,318.6,0,0,0,8.5
618.4,318.6,0,0,0,8.52
618.4,318.6,0,0,0,8.54
618.4,318.6,0,0,0,8.559999
618.4,318.6,0,0,0,8.58
618.4,318.6,0,0,0,8.599999
618.4,318.6,0,0,0,8.62
618.4,318.6,0,0,0,8.639999
618.4,318.6,0,0,0,8.66
618.4,318.6,0,0,0,8.679999
618.4,318.6,0,0,0,8.7
618.4,318.6,0,0,0,8.72
618.4,318.6,0,0,0,8.74
618.4,318.6,0,0,0,8.76
