cohort,interface,contingency,subject,duration,category,valence,arousal,intensity,premature,left,long,correct,delay,iti
vmu,keyboard,leftlong,23pvn,2.2,wolves,20,77.83,57.750853641065,0,0,0,0,1.951019,2.531
vmu,keyboard,leftlong,23pvn,0.2,dogs,60,10.84,107.064653691778,0,0,0,1,0.9002991,2.8
vmu,keyboard,leftlong,23pvn,1.797,wolves,40,29.83,140.827653078448,0,1,1,1,0.6168518,2.8
vmu,keyboard,leftlong,23pvn,1.469,positive,82.81,36.59,115.714265540521,0,1,1,1,1.450775,3.8
vmu,keyboard,leftlong,23pvn,1.797,wolves,20,74.33,71.489803328695,0,1,1,1,1.217072,2.531
vmu,keyboard,leftlong,23pvn,0.2,positive,86.13,7.73,79.4408343751742,0,0,0,1,0.7005005,3.069
vmu,keyboard,leftlong,23pvn,0.931,dogs,80,73.59,188.551900920968,0,0,0,1,1.083923,2.531
vmu,keyboard,leftlong,23pvn,1.469,negative,35.16,39.16,128.084112074279,0,1,1,1,1.050568,3.8
vmu,keyboard,leftlong,23pvn,0.931,dogs,80,80.2,75.7859131258889,0,0,0,1,0.9003296,2.203
vmu,keyboard,leftlong,23pvn,1.469,wolves,40,11.17,83.9174260336426,0,1,1,1,1.100555,2.531
vmu,keyboard,leftlong,23pvn,0.603,neutral,50.87,20.61,150.07852958456,0,0,0,1,0.8503723,3.8
vmu,keyboard,leftlong,23pvn,1.797,wolves,20,70.58,134.342916370598,0,1,1,1,4.452362,2.8
vmu,keyboard,leftlong,23pvn,1.469,dogs,80,100,97.3236960580508,0,1,1,1,0.7172241,3.8
vmu,keyboard,leftlong,23pvn,0.931,wolves,20,83.62,110.072312798698,0,0,0,1,0.6503296,3.069
vmu,keyboard,leftlong,23pvn,0.931,negative,39.68,38.7,86.2380265018803,0,0,0,1,0.8669434,3.069
vmu,keyboard,leftlong,23pvn,1.2,horses,NaN,NaN,87.4333967021766,0,1,1,0,0.9337158,3.069
vmu,keyboard,leftlong,23pvn,0.2,negative,15.47,42.89,121.385119929068,0,0,0,1,0.7336731,2.203
vmu,keyboard,leftlong,23pvn,0.2,positive,88.8,7.66,80.2956176289661,0,0,0,1,0.7002563,3.397
vmu,keyboard,leftlong,23pvn,1.469,horses,NaN,NaN,134.559359559922,0,1,1,1,0.6338196,1.8
vmu,keyboard,leftlong,23pvn,1.2,wolves,20,77.02,128.631449177534,0,0,0,0,0.7670593,2.531
vmu,keyboard,leftlong,23pvn,1.2,wolves,40,21.68,129.789982648392,0,0,0,0,0.6503601,2.203
vmu,keyboard,leftlong,23pvn,0.2,zebras,NaN,NaN,70.5836555329842,0,0,0,1,0.6503296,2.531
vmu,keyboard,leftlong,23pvn,0.2,negative,32.22,48.06,48.9296134865185,0,0,0,1,0.5669556,3.8
vmu,keyboard,leftlong,23pvn,1.2,dogs,80,76.45,67.0199375609513,0,1,1,0,0.7671814,2.531
vmu,keyboard,leftlong,23pvn,1.797,neutral,49.68,21.31,164.59870491161,0,1,1,1,1.100433,3.397
vmu,keyboard,leftlong,23pvn,1.797,neutral,50.17,13.26,109.555531677661,0,1,1,1,0.5170898,3.8
